% time	cellId	IMSI	RNTI	rsrp	sinr
0.237214	1	1	1	2.19405e-08	4.62547e+07
0.238214	1	1	1	2.19664e-08	4.63092e+07
0.239214	1	1	1	2.19923e-08	4.63638e+07
0.240214	1	1	1	2.20182e-08	4.64185e+07
0.241214	1	1	1	2.20442e-08	4.64733e+07
0.242214	1	1	1	2.20702e-08	4.65282e+07
0.243214	1	1	1	2.20963e-08	4.65831e+07
0.244214	1	1	1	2.21224e-08	4.66382e+07
0.245214	1	1	1	2.21486e-08	4.66934e+07
0.246214	1	1	1	2.21748e-08	4.67486e+07
0.247214	1	1	1	2.22011e-08	4.6804e+07
0.248214	1	1	1	2.22274e-08	4.68595e+07
0.249214	1	1	1	2.22537e-08	4.6915e+07
0.250214	1	1	1	2.22801e-08	4.69707e+07
0.251214	1	1	1	2.23066e-08	4.70264e+07
0.252214	1	1	1	2.23331e-08	4.70823e+07
0.253214	1	1	1	2.23596e-08	4.71382e+07
0.254214	1	1	1	2.23862e-08	4.71942e+07
0.255214	1	1	1	2.24128e-08	4.72504e+07
0.256214	1	1	1	2.24395e-08	4.73066e+07
0.257214	1	1	1	2.24662e-08	4.73629e+07
0.258214	1	1	1	2.2493e-08	4.74194e+07
0.259214	1	1	1	2.25198e-08	4.74759e+07
0.260214	1	1	1	2.25467e-08	4.75326e+07
0.261214	1	1	1	2.25736e-08	4.75893e+07
0.262214	1	1	1	2.26005e-08	4.76461e+07
0.263214	1	1	1	2.26275e-08	4.77031e+07
0.264214	1	1	1	2.26546e-08	4.77601e+07
0.265214	1	1	1	2.26817e-08	4.78172e+07
0.266214	1	1	1	2.27089e-08	4.78745e+07
0.267214	1	1	1	2.2736e-08	4.79318e+07
0.268214	1	1	1	2.27633e-08	4.79892e+07
0.269214	1	1	1	2.27906e-08	4.80468e+07
0.270214	1	1	1	2.28179e-08	4.81044e+07
0.271214	1	1	1	2.28453e-08	4.81622e+07
0.272214	1	1	1	2.28728e-08	4.822e+07
0.273214	1	1	1	2.29002e-08	4.8278e+07
0.274214	1	1	1	2.29278e-08	4.8336e+07
0.275214	1	1	1	2.29554e-08	4.83942e+07
0.276214	1	1	1	2.2983e-08	4.84524e+07
0.277214	1	1	1	2.30107e-08	4.85108e+07
0.278214	1	1	1	2.30384e-08	4.85692e+07
0.279214	1	1	1	2.30662e-08	4.86278e+07
0.280214	1	1	1	2.3094e-08	4.86865e+07
0.281214	1	1	1	2.31219e-08	4.87452e+07
0.282214	1	1	1	2.31498e-08	4.88041e+07
0.283214	1	1	1	2.31778e-08	4.88631e+07
0.284214	1	1	1	2.32058e-08	4.89222e+07
0.285214	1	1	1	2.32339e-08	4.89814e+07
0.286214	1	1	1	2.3262e-08	4.90407e+07
0.287214	1	1	1	2.32902e-08	4.91001e+07
0.288214	1	1	1	2.33185e-08	4.91596e+07
0.289214	1	1	1	2.33467e-08	4.92192e+07
0.290214	1	1	1	2.33751e-08	4.9279e+07
0.291214	1	1	1	2.34034e-08	4.93388e+07
0.292214	1	1	1	2.34319e-08	4.93987e+07
0.293214	1	1	1	2.34604e-08	4.94588e+07
0.294214	1	1	1	2.34889e-08	4.95189e+07
0.295214	1	1	1	2.35175e-08	4.95792e+07
0.296214	1	1	1	2.35461e-08	4.96396e+07
0.297214	1	1	1	2.35748e-08	4.97001e+07
0.298214	1	1	1	2.36035e-08	4.97606e+07
0.299214	1	1	1	2.36323e-08	4.98213e+07
0.300214	1	1	1	2.36612e-08	4.98821e+07
0.301214	1	1	1	2.36901e-08	4.99431e+07
0.302214	1	1	1	2.3719e-08	5.00041e+07
0.303214	1	1	1	2.3748e-08	5.00652e+07
0.304214	1	1	1	2.37771e-08	5.01265e+07
0.305214	1	1	1	2.38062e-08	5.01878e+07
0.306214	1	1	1	2.38353e-08	5.02493e+07
0.307214	1	1	1	2.38645e-08	5.03109e+07
0.308214	1	1	1	2.38938e-08	5.03725e+07
0.309214	1	1	1	2.39231e-08	5.04343e+07
